player_role,prefix_name,prefix_desc,all_player_prob,all_player_bonus,top_player_prob,top_player_bonus
Core,Dashing,+13% when playing an Agility Hero,0.35959509618639685,4.674736250423159,0.6733364936167526,8.753374417017785
Core,Otherworldly,"+19% when playing an Undead, Demon, or Spirit Hero",0.17058431754864553,3.2411020334242653,0.2142257851409127,4.070289917677341
Core,Cerulean,+20% when playing a Blue Hero,0.14055231398051776,2.8110462796103555,0.17124560048214493,3.424912009642899
Core,Brawny,+13% when playing a Strength Hero,0.3965657565411826,5.155354835035373,0.2627633078408366,3.415923001930876
Core,Emerald,+22% when playing a Green Hero,0.14381631723384267,3.163958979144539,0.1526346615827384,3.3579625548202445
Core,Crimson,+19% when playing a Red Hero,0.26514192814818943,5.0376966348156,0.17397164259089662,3.305461209227036
Core,Coveted (Team),+10% when that player's hero is chosen last,0.2949185475395573,2.949185475395573,0.3186413712877689,3.1864137128776893
Core,Elemental,"+20% when playing an Aquatic, Fiery, or Icy Hero",0.2105904989411277,4.211809978822554,0.12401627283748946,2.480325456749789
Core,Bestial,+20% if playing a hero with Horns or Wings,0.1966889159910381,3.933778319820762,0.10029471073191398,2.0058942146382797
Core,Virtuoso,+18% when playing a hero they are a Master or Grandmaster with,0.10937314183331347,1.9687165529996424,0.11052725880467341,1.9894906584841214
Core,Hirsute,+15% when playing a Bearded or Fuzzy Hero,0.2880778087138484,4.321167130707726,0.12423212755243898,1.8634819132865847
Core,Glamorous,+22% when the player has an Arcana equipped,0.04842994016569072,1.0654586836451958,0.08173891874508336,1.798256212391834
Core,Sacrificial (Team),+20% when that player's hero is chosen first,0.1357402045938217,2.7148040918764336,0.08980905937727486,1.7961811875454972
Core,Coveted (Overall),+10% when that player's hero is chosen last,0.1663500706848832,1.663500706848832,0.1745699368997733,1.745699368997733
Core,Clutch,+17% when playing the last possible match of a series,0.08294414162456268,1.4100504076175655,0.07353077413992914,1.2500231603787955
Core,Sacrificial (Overall),+20% when that player's hero is chosen first,0.06595199542233791,1.3190399084467583,0.047061511176213544,0.9412302235242709
Core,Canny,+13% when playing an Intelligence Hero,0.034665531511325134,0.45065190964722673,0.04837436784097199,0.6288667819326359
Core,Balanced,+13% when playing a Universal Hero,0.20917361576109542,2.7192570048942404,0.015525830701438743,0.20183579911870367
Mid,Otherworldly,"+19% when playing an Undead, Demon, or Spirit Hero",0.34130208780871507,6.484739668365586,0.36921176869923544,7.0150236052854735
Mid,Hirsute,+15% when playing a Bearded or Fuzzy Hero,0.40109035151828204,6.016355272774231,0.4060808095350047,6.0912121430250705
Mid,Sacrificial (Team),+20% when that player's hero is chosen first,0.2803212424317589,5.606424848635178,0.27269336747302886,5.453867349460577
Mid,Crimson,+19% when playing a Red Hero,0.2792409633345139,5.305578303355764,0.284549655971861,5.406443463465359
Mid,Brawny,+13% when playing a Strength Hero,0.3125776620708475,4.063509606921017,0.32706127638695337,4.251796593030393
Mid,Balanced,+13% when playing a Universal Hero,0.30386958142890835,3.9503045585758088,0.28619618645955935,3.7205504239742715
Mid,Elemental,"+20% when playing an Aquatic, Fiery, or Icy Hero",0.17898493996433948,3.5796987992867897,0.1849658499943256,3.6993169998865123
Mid,Cerulean,+20% when playing a Blue Hero,0.18626410292961998,3.7252820585923994,0.1743944695716571,3.487889391433142
Mid,Virtuoso,+18% when playing a hero they are a Master or Grandmaster with,0.21991876788615833,3.95853782195085,0.18289836199194698,3.2921705158550454
Mid,Canny,+13% when playing an Intelligence Hero,0.24969470372469404,3.2460311484210225,0.23759563918173526,3.0887433093625583
Mid,Emerald,+22% when playing a Green Hero,0.16129127564849155,3.5484080642668143,0.13753540541174658,3.0257789190584248
Mid,Sacrificial (Overall),+20% when that player's hero is chosen first,0.13927243978142406,2.785448795628481,0.1395084847757925,2.79016969551585
Mid,Coveted (Team),+10% when that player's hero is chosen last,0.2949646564130662,2.9496465641306617,0.252130703620317,2.5213070362031695
Mid,Bestial,+20% if playing a hero with Horns or Wings,0.14663774504106053,2.9327549008212106,0.11391566017437366,2.278313203487473
Mid,Dashing,+13% when playing an Agility Hero,0.13385805277555016,1.740154686082152,0.149146897971752,1.9389096736327762
Mid,Coveted (Overall),+10% when that player's hero is chosen last,0.14805712818946118,1.4805712818946117,0.15236540891215303,1.5236540891215302
Mid,Clutch,+17% when playing the last possible match of a series,0.0828398306582467,1.4082771211901939,0.08276693649919435,1.407037920486304
Mid,Glamorous,+22% when the player has an Arcana equipped,0.00939508364819802,0.20669184026035645,0.004275716936311893,0.09406577259886165
Support,Emerald,+22% when playing a Green Hero,0.35248841112226387,7.754745044689805,0.3431484971403293,7.5492669370872445
Support,Canny,+13% when playing an Intelligence Hero,0.4548898407998493,5.913567930398041,0.49384196325216934,6.419945522278201
Support,Bestial,+20% if playing a hero with Horns or Wings,0.23949553623254813,4.789910724650962,0.28666979793906955,5.733395958781391
Support,Otherworldly,"+19% when playing an Undead, Demon, or Spirit Hero",0.2761171578919298,5.246225999946667,0.28313764174016154,5.379615193063069
