player_id,player_role,suffix_name,suffix_bonus,suffix_prob,effective_bonus
10366616,Support,of the Ant,16,0.26160487051731757,0.04185677928277081
10366616,Support,of the Bull,20,0.08446190711859551,0.016892381423719103
10366616,Support,of the Octopus,15,0.4809863958227618,0.07214795937341427
10366616,Support,of the Raven,25,0.05007993089743185,0.012519982724357963
10366616,Support,the Accomplice,10,0.3537034536821062,0.03537034536821062
10366616,Support,the Decisive,20,0.06203787494920173,0.012407574989840346
10366616,Support,the Divine Thief,25,0.03039631887035603,0.007599079717589007
10366616,Support,the Even-Keeled,20,0,0
10366616,Support,the Flayed Twins Acolyte,15,0.11277521407431175,0.016916282111146763
10366616,Support,the Loquacious,10,0,0
10366616,Support,the Mule,20,0.026866723001590858,0.005373344600318171
10366616,Support,the Nothl Pilgrim,16,0.25520681900487535,0.040833091040780055
10366616,Support,the Pacifist,16,0.04365327607086567,0.006984524171338507
10366616,Support,the Patient,20,0,0
10366616,Support,the Tormented,25,0.07481693355703999,0.018704233389259996
10366616,Support,the Underdog,15,0.4677835064697822,0.07016752597046733
16497807,Support,of the Ant,16,0.06659437662431768,0.010655100259890828
16497807,Support,of the Bull,20,0.066794175309028,0.013358835061805598
16497807,Support,of the Octopus,15,0.6433396133767509,0.09650094200651264
16497807,Support,of the Raven,25,0.009378964047329302,0.0023447410118323255
16497807,Support,the Accomplice,10,0.13841309533769527,0.013841309533769528
16497807,Support,the Decisive,20,0.1173391799961202,0.02346783599922404
16497807,Support,the Divine Thief,25,0.02708978031299084,0.00677244507824771
16497807,Support,the Even-Keeled,20,0,0
16497807,Support,the Flayed Twins Acolyte,15,0.23386705076760908,0.03508005761514136
16497807,Support,the Loquacious,10,0,0
16497807,Support,the Mule,20,0.007359754073389113,0.0014719508146778227
16497807,Support,the Nothl Pilgrim,16,0.1053056211540285,0.01684889938464456
16497807,Support,the Pacifist,16,0.027974059814698443,0.004475849570351751
16497807,Support,the Patient,20,0,0
16497807,Support,the Tormented,25,0.0296681059491163,0.007417026487279075
16497807,Support,the Underdog,15,0.4155896116610858,0.06233844174916287
25907144,Support,of the Ant,16,0.2004287215040195,0.03206859544064312
25907144,Support,of the Bull,20,0.09694017826100011,0.01938803565220002
25907144,Support,of the Octopus,15,0.41420983022299834,0.06213147453344975
25907144,Support,of the Raven,25,0.07698051744129861,0.019245129360324652
25907144,Support,the Accomplice,10,0.20984571798998006,0.020984571798998007
25907144,Support,the Decisive,20,0.03266513081192147,0.0065330261623842934
25907144,Support,the Divine Thief,25,0.0544951994925957,0.013623799873148925
25907144,Support,the Even-Keeled,20,0,0
25907144,Support,the Flayed Twins Acolyte,15,0.12422627408862597,0.018633941113293896
25907144,Support,the Loquacious,10,0.0062588497395805135,6.258849739580513e-4
25907144,Support,the Mule,20,0.09529268453957956,0.019058536907915914
25907144,Support,the Nothl Pilgrim,16,0.33494087921021476,0.05359054067363436
25907144,Support,the Pacifist,16,0.097499228174062,0.015599876507849919
25907144,Support,the Patient,20,0,0
25907144,Support,the Tormented,25,0.07678870080669356,0.01919717520167339
25907144,Support,the Underdog,15,0.6426979659753305,0.09640469489629958
54580962,Support,of the Ant,16,0.2073953809598441,0.03318326095357506
54580962,Support,of the Bull,20,0.15425235519416938,0.030850471038833874
54580962,Support,of the Octopus,15,0.5304114378423296,0.07956171567634944
54580962,Support,of the Raven,25,0.007837970703953867,0.0019594926759884668
54580962,Support,the Accomplice,10,0.2646358757684344,0.026463587576843438
54580962,Support,the Decisive,20,0.020354993125472707,0.004070998625094541
54580962,Support,the Divine Thief,25,0.03736522295225043,0.009341305738062607
54580962,Support,the Even-Keeled,20,0,0
54580962,Support,the Flayed Twins Acolyte,15,0.26265533681923225,0.03939830052288484
54580962,Support,the Loquacious,10,0.420609243310704,0.0420609243310704
54580962,Support,the Mule,20,0.08754671628136809,0.01750934325627362
54580962,Support,the Nothl Pilgrim,16,0.0973540923123691,0.015576654769979057
54580962,Support,the Pacifist,16,0.1077014967521395,0.017232239480342318
54580962,Support,the Patient,20,0,0
54580962,Support,the Tormented,25,0,0
54580962,Support,the Underdog,15,0.3670140732564509,0.055052110988467635
73562326,Core,of the Ant,16,0,0
73562326,Core,of the Bull,20,0.011431620478501789,0.002286324095700358
73562326,Core,of the Octopus,15,0.7337603658089397,0.11006405487134095
73562326,Core,of the Raven,25,0.007837970703953867,0.0019594926759884668
73562326,Core,the Accomplice,10,0.19698607319944106,0.019698607319944106
73562326,Core,the Decisive,20,0.020354993125472707,0.004070998625094541
73562326,Core,the Divine Thief,25,0.03736522295225043,0.009341305738062607
73562326,Core,the Even-Keeled,20,0,0
73562326,Core,the Flayed Twins Acolyte,15,0.26265533681923225,0.03939830052288484
73562326,Core,the Loquacious,10,0,0
73562326,Core,the Mule,20,0.012327886581106215,0.002465577316221243
73562326,Core,the Nothl Pilgrim,16,0.07671793789801347,0.012274870063682155
73562326,Core,the Pacifist,16,0.045097715790166124,0.00721563452642658
73562326,Core,the Patient,20,0,0
73562326,Core,the Tormented,25,0,0
73562326,Core,the Underdog,15,0.3670140732564509,0.055052110988467635
77490514,Support,of the Ant,16,0.12468364602385593,0.01994938336381695
77490514,Support,of the Bull,20,0.19218963172343406,0.03843792634468681
77490514,Support,of the Octopus,15,0.6778820157269537,0.10168230235904305
77490514,Support,of the Raven,25,0.007837970703953867,0.0019594926759884668
77490514,Support,the Accomplice,10,0.17778856167305157,0.01777885616730516
77490514,Support,the Decisive,20,0.020354993125472707,0.004070998625094541
77490514,Support,the Divine Thief,25,0.03736522295225043,0.009341305738062607
77490514,Support,the Even-Keeled,20,0,0
77490514,Support,the Flayed Twins Acolyte,15,0.26265533681923225,0.03939830052288484
77490514,Support,the Loquacious,10,0,0
77490514,Support,the Mule,20,0.1266073576827679,0.025321471536553578
77490514,Support,the Nothl Pilgrim,16,0.19177657970794448,0.030684252753271118
77490514,Support,the Pacifist,16,0.027063642414802563,0.00433018278636841
77490514,Support,the Patient,20,0,0
77490514,Support,the Tormented,25,0,0
77490514,Support,the Underdog,15,0.3670140732564509,0.055052110988467635
81306398,Support,of the Ant,16,0.4580563613399666,0.07328901781439465
81306398,Support,of the Bull,20,0.19051299379762726,0.03810259875952546
81306398,Support,of the Octopus,15,0.3523500804056347,0.05285251206084521
81306398,Support,of the Raven,25,0.034784683684007084,0.008696170921001771
81306398,Support,the Accomplice,10,0.1232166443704013,0.01232166443704013
81306398,Support,the Decisive,20,0.03135033264805292,0.006270066529610584
81306398,Support,the Divine Thief,25,0.05755479778643321,0.014388699446608302
81306398,Support,the Even-Keeled,20,0.012323963694658529,0.002464792738931706
81306398,Support,the Flayed Twins Acolyte,15,0.20637007602028484,0.030955511403042726
81306398,Support,the Loquacious,10,0,0
81306398,Support,the Mule,20,0.04010155619857117,0.008020311239714233
81306398,Support,the Nothl Pilgrim,16,0.1765762125232619,0.028252194003721903
81306398,Support,the Pacifist,16,0.10358364087303268,0.016573382539685228
81306398,Support,the Patient,20,0,0
81306398,Support,the Tormented,25,0.10713880936397946,0.026784702340994865
