player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
124801257,3,6,492,653.2347,4,1,0,0,3,0,0,0,0,0.5,2.166836,2,1,0
480412663,5,9,162,339.95917,4,0,1,1,6,0,0,0,0,0.5,69.93185,0,0,0
331855530,9,4,384,539.89935,3,1,0,3,3,1,0,4,0,0.7,27.73296,1,0,0
317880638,1,8,159,281.58282,2,0,8,1,3,3,4,0,0,0.6,44.000217,1,0,0
431770905,2,11,102,278.0952,4,0,9,9,5,5,2,2,0,0.35,38.733154,2,0,0
292921272,8,6,312,567.05115,4,1,1,1,3,0,1,3,0,0.6216216,1.4,0,0,0
153836240,13,5,298,589.61523,4,2,0,2,22,3,0,3,0,0.6216216,91.89957,0,0,0
155332459,1,3,131,428.53018,4,0,4,4,3,3,3,5,0,0.7567568,27.66601,0,0,1
117089283,7,3,207,510.54733,4,1,14,11,4,9,4,6,1,0.7837838,0.0,0,0,0
339235645,7,3,652,908.3211,4,7,0,4,10,2,0,0,1,0.43243244,23.231712,2,0,0

