player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
183719386,2,7,172,372.48297,2,0,0,1,2,0,0,1,0,0.5,18.899853,0,0,0
171262902,3,5,316,631.76263,5,0,0,1,2,3,0,0,0,0.7,0.0,0,0,3
127565532,2,9,58,275.18933,2,1,10,0,1,3,1,1,0,0.8,4.0996094,0,0,0
96803083,0,7,261,488.91574,3,0,2,3,9,1,2,0,0,0.7,42.23397,0,0,0
196878136,3,11,55,279.84665,3,0,3,11,3,1,1,0,0,0.8,35.400013,0,0,0
100471531,6,2,210,600.11334,3,0,0,5,2,2,0,1,0,0.6666667,8.333427,1,0,0
301750126,6,1,175,565.8804,3,1,2,1,21,1,0,0,0,0.84615386,40.333515,1,1,1
101259972,3,3,17,306.90665,1,0,9,2,0,6,5,3,0,0.64102566,18.700098,2,0,0
375507918,15,0,295,817.9531,2,4,0,2,5,1,0,2,1,0.6666667,0.0,2,0,0
193815691,9,4,143,490.6155,3,1,3,0,1,3,0,6,0,0.74358976,37.80005,2,0,0

