player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
91730177,5,2,77,352.96286,4,0,8,6,6,6,3,1,0,0.6296296,34.433735,1,0,1
116934015,3,1,376,718.92487,3,3,0,5,5,4,0,5,0,0.33333334,0.0,2,1,0
97590558,7,5,205,557.0389,3,0,0,0,2,2,0,0,0,0.8148148,95.33031,1,0,0
16497807,3,4,65,407.33752,2,0,4,5,2,4,3,1,0,0.5555556,12.733018,1,0,0
221666230,9,3,205,555.5402,3,2,2,1,7,0,0,0,1,0.6666667,75.96671,0,0,1
140297552,1,8,160,425.38638,2,0,2,1,17,0,0,0,0,0.6,15.866406,0,0,0
152168157,1,6,37,293.08234,2,0,6,3,2,1,2,4,0,0.93333334,37.466824,0,0,0
320219866,4,6,50,317.15836,3,1,7,2,3,3,3,1,0,0.6,44.26642,0,0,0
140288368,1,5,173,410.26965,3,1,0,7,2,1,0,0,0,0.6,32.833374,0,0,0
96183976,8,3,324,678.885,2,1,0,1,0,1,0,1,0,0.93333334,0.0,0,0,1

