player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
172099728,13,2,917,995.9827,5,6,0,3,10,6,0,0,4,0.76666665,2.2998047,4,0,1
145065875,3,5,130,346.73325,4,1,18,7,7,12,8,18,0,0.73333335,0.0,0,0,0
94049589,3,9,346,508.66696,5,0,8,4,15,5,1,4,0,0.8333333,90.10051,0,0,1
123023873,7,1,474,573.84436,4,0,2,0,17,0,0,0,0,0.93333334,22.051863,0,0,0
195108598,4,4,370,630.01544,5,0,0,0,2,2,1,2,0,0.73333335,15.732504,0,0,0
171262902,4,5,668,636.5625,5,3,0,3,6,1,0,4,0,0.5,20.933119,3,0,0
96803083,4,4,682,699.3295,5,1,1,1,7,0,0,0,0,0.7,80.90274,0,0,0
127565532,2,7,276,437.3334,4,1,6,3,0,3,0,0,1,0.7,0.0,2,1,0
152545459,6,3,419,514.49744,5,1,0,1,16,2,0,1,0,0.95,154.31207,1,0,0
196878136,2,11,152,343.44342,5,0,21,7,9,4,8,0,0,0.65,55.16723,3,0,0

