player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
194979527,4,3,375,560.1625,3,1,0,3,5,1,0,1,0,0.6666667,0.0,1,0,0
40805086,1,6,217,387.58774,3,0,2,1,7,0,0,0,0,0.22222222,0.0,1,0,0
93817671,0,9,31,183.1699,3,0,3,2,4,3,0,1,0,0.7777778,30.66717,1,0,1
326327879,0,7,70,266.08868,3,1,10,0,1,3,6,2,0,0.44444445,19.633867,0,0,0
203351055,4,6,285,481.4472,3,1,0,2,1,2,0,2,0,0.5555556,8.30022,1,1,0
172099728,9,2,297,631.5072,3,2,0,1,2,2,0,5,1,0.7741935,25.267012,0,0,1
145065875,3,1,41,303.1718,3,1,8,1,4,7,5,3,0,0.8064516,77.63348,0,0,0
94049589,3,3,168,470.65048,3,2,7,3,5,3,1,1,0,0.9354839,15.166513,1,0,0
123023873,11,0,290,621.77576,3,2,1,0,18,1,0,0,1,0.7096774,55.865417,1,0,0
195108598,5,4,191,474.71005,3,0,0,2,0,3,0,5,0,0.67741936,18.566772,0,0,0

