player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
171262902,8,4,526,690.6267,4,6,1,5,9,2,0,1,2,0.725,51.10008,3,0,0
96803083,13,4,695,803.3295,4,1,2,3,12,3,0,0,0,0.75,166.6251,1,0,1
127565532,4,10,74,350.20773,3,1,17,12,7,7,3,0,0,0.75,64.23502,3,1,0
183719386,7,1,408,560.05725,4,0,0,2,10,1,0,1,0,0.75,86.73446,1,0,0
196878136,7,5,113,416.33026,4,0,6,12,6,4,5,2,1,0.85,48.83233,2,0,0
54580962,3,7,234,480.0012,3,0,1,5,5,7,1,3,0,0.7916667,62.868263,0,0,0
73562326,3,8,323,454.93848,4,1,0,0,10,3,0,7,0,0.5833333,33.734497,0,0,0
201358612,2,9,509,569.28156,4,2,2,0,14,2,0,0,1,0.75,26.700026,0,0,0
77490514,4,13,76,309.20084,4,0,23,1,3,5,8,2,0,0.75,263.73315,0,0,0
152962063,12,3,673,827.95135,4,1,0,2,7,3,0,11,0,0.8333333,27.033316,1,0,0

